id,city,rating,birthday
1,San Antonio,3.7,1986-10-31 00:00:00
2,New York,4.0,1986-11-01 00:00:00
3,San Antonio,4.2,1986-11-02 00:00:00
4,Los Angeles,3.8,1986-11-05 00:00:00
5,Chicago,4.1,1986-11-09 00:00:00
6,Dallas,3.8,1986-11-10 00:00:00
7,New York,4.5,1986-11-15 00:00:00
8,Philadelphia,3.7,1986-11-28 00:00:00
9,Los Angeles,4.3,1986-12-01 00:00:00
10,Chicago,4.3,1986-12-10 00:00:00
10,Chicago,4.2,1986-12-05 00:00:00
9,Los Angeles,4.3,1986-11-16 00:00:00
8,Philadelphia,3.7,1986-11-14 00:00:00
7,New York,4.5,1986-11-11 00:00:00
6,Dallas,3.8,1986-11-03 00:00:00
5,Chicago,4.1,1986-11-02 14:00:00
4,Los Angeles,3.8,1986-07-09 00:00:00
3,San Antonio,4.2,1986-07-07 00:00:00
2,New York,4.0,1986-07-04 00:00:00
1,San Antonio,3.7,1986-07-01 00:00:00